fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Id,Acid_Ratio,Sulfur_Ratio,Sugar_Alcohol_Ratio,Total_Acidity,pH_Category,Alcohol_Sulphates_Interaction
8.1,0.725,0.22,2.2,0.072,11.0,41.0,0.9967,3.36,0.55,9.1,5,217,0.08950617283950617,0.2682926829268293,0.2417582417582418,9.045,Low,5.005
7.5,0.49,0.19,1.9,0.076,10.0,44.0,0.9957,3.39,0.54,9.7,5,218,0.06533333333333333,0.22727272727272727,0.1958762886597938,8.18,Low,5.2379999999999995
7.8,0.34,0.37,2.0,0.0819999999999999,24.0,58.0,0.9964,3.34,0.59,9.4,6,220,0.043589743589743594,0.41379310344827586,0.2127659574468085,8.51,Low,5.546
7.4,0.53,0.26,2.0,0.1009999999999999,16.0,72.0,0.9957,3.15,0.57,9.4,5,221,0.07162162162162163,0.2222222222222222,0.2127659574468085,8.190000000000001,Low,5.358
6.8,0.61,0.04,1.5,0.057,5.0,10.0,0.99525,3.42,0.6,9.5,5,222,0.08970588235294118,0.5,0.15789473684210525,7.45,Moderate,5.7
8.6,0.645,0.25,2.0,0.083,8.0,28.0,0.99815,3.28,0.6,10.0,6,223,0.07500000000000001,0.2857142857142857,0.2,9.495,Low,6.0
7.7,0.43,0.25,2.6,0.073,29.0,63.0,0.99615,3.37,0.58,10.5,6,225,0.05584415584415584,0.4603174603174603,0.24761904761904763,8.38,Low,6.09
8.9,0.59,0.5,2.0,0.337,27.0,81.0,0.9964,3.04,1.61,9.5,6,226,0.06629213483146067,0.3333333333333333,0.21052631578947367,9.99,Low,15.295000000000002
5.2,0.48,0.04,1.6,0.054,19.0,106.0,0.9927,3.54,0.62,12.2,7,230,0.0923076923076923,0.1792452830188679,0.13114754098360656,5.72,Moderate,7.563999999999999
8.0,0.38,0.06,1.8,0.078,12.0,49.0,0.99625,3.37,0.52,9.9,6,231,0.0475,0.24489795918367346,0.18181818181818182,8.440000000000001,Low,5.148000000000001
8.5,0.37,0.2,2.8,0.09,18.0,58.0,0.998,3.34,0.7,9.6,6,232,0.04352941176470588,0.3103448275862069,0.2916666666666667,9.069999999999999,Low,6.72
8.2,1.0,0.09,2.3,0.065,7.0,37.0,0.99685,3.32,0.55,9.0,6,234,0.12195121951219513,0.1891891891891892,0.25555555555555554,9.29,Low,4.95
7.2,0.63,0.0,1.9,0.0969999999999999,14.0,38.0,0.99675,3.37,0.58,9.0,6,235,0.0875,0.3684210526315789,0.2111111111111111,7.83,Low,5.22
8.9,0.635,0.37,1.7,0.263,5.0,62.0,0.9971,3.0,1.09,9.3,5,240,0.07134831460674157,0.08064516129032258,0.18279569892473116,9.905,Very Low,10.137000000000002
12.0,0.38,0.56,2.1,0.093,6.0,24.0,0.99925,3.14,0.71,10.9,6,241,0.03166666666666667,0.25,0.1926605504587156,12.940000000000001,Low,7.739
7.7,0.58,0.1,1.8,0.102,28.0,109.0,0.99565,3.08,0.49,9.8,6,242,0.07532467532467532,0.25688073394495414,0.18367346938775508,8.379999999999999,Low,4.8020000000000005
15.0,0.21,0.44,2.2,0.075,10.0,24.0,1.00005,3.07,0.84,9.2,7,243,0.014,0.4166666666666667,0.23913043478260873,15.65,Low,7.727999999999999
15.0,0.21,0.44,2.2,0.075,10.0,24.0,1.00005,3.07,0.84,9.2,7,244,0.014,0.4166666666666667,0.23913043478260873,15.65,Low,7.727999999999999
7.3,0.66,0.0,2.0,0.084,6.0,23.0,0.9983,3.61,0.96,9.9,6,245,0.09041095890410959,0.2608695652173913,0.20202020202020202,7.96,Moderate,9.504
7.1,0.68,0.07,1.9,0.075,16.0,51.0,0.99685,3.38,0.52,9.5,5,246,0.09577464788732395,0.3137254901960784,0.19999999999999998,7.85,Low,4.94
7.3,0.66,0.0,2.0,0.084,6.0,23.0,0.9983,3.61,0.96,9.9,6,249,0.09041095890410959,0.2608695652173913,0.20202020202020202,7.96,Moderate,9.504
10.8,0.32,0.44,1.6,0.063,16.0,37.0,0.9985,3.22,0.78,10.0,6,250,0.029629629629629627,0.43243243243243246,0.16,11.56,Low,7.800000000000001
7.1,0.6,0.0,1.8,0.074,16.0,34.0,0.9972,3.47,0.7,9.9,6,251,0.08450704225352113,0.47058823529411764,0.18181818181818182,7.699999999999999,Moderate,6.93
11.1,0.35,0.48,3.1,0.09,5.0,21.0,0.9986,3.17,0.53,10.5,5,252,0.03153153153153153,0.23809523809523808,0.29523809523809524,11.93,Low,5.565
7.7,0.775,0.42,1.9,0.092,8.0,86.0,0.9959,3.23,0.59,9.5,5,253,0.10064935064935066,0.09302325581395349,0.19999999999999998,8.895,Low,5.6049999999999995
8.0,0.57,0.23,3.2,0.073,17.0,119.0,0.99675,3.26,0.57,9.3,5,255,0.07125,0.14285714285714285,0.3440860215053763,8.8,Low,5.301
9.4,0.34,0.37,2.2,0.075,5.0,13.0,0.998,3.22,0.62,9.2,5,256,0.03617021276595745,0.38461538461538464,0.23913043478260873,10.11,Low,5.704
6.6,0.695,0.0,2.1,0.075,12.0,56.0,0.9968,3.49,0.67,9.2,5,257,0.1053030303030303,0.21428571428571427,0.2282608695652174,7.295,Moderate,6.164
7.7,0.41,0.76,1.8,0.611,8.0,45.0,0.9968,3.06,1.26,9.4,5,258,0.053246753246753244,0.17777777777777778,0.19148936170212766,8.87,Low,11.844000000000001
10.0,0.31,0.47,2.6,0.085,14.0,33.0,0.99965,3.36,0.8,10.5,7,259,0.031,0.42424242424242425,0.24761904761904763,10.780000000000001,Low,8.4
7.9,0.33,0.23,1.7,0.077,18.0,45.0,0.99625,3.29,0.65,9.3,5,260,0.04177215189873418,0.4,0.18279569892473116,8.46,Low,6.045000000000001
7.0,0.975,0.04,2.0,0.087,12.0,67.0,0.99565,3.35,0.6,9.4,4,261,0.1392857142857143,0.1791044776119403,0.2127659574468085,8.014999999999999,Low,5.64
8.0,0.52,0.03,1.7,0.07,10.0,35.0,0.99575,3.34,0.57,10.0,5,262,0.065,0.2857142857142857,0.16999999999999998,8.549999999999999,Low,5.699999999999999
7.9,0.37,0.23,1.8,0.077,23.0,49.0,0.9963,3.28,0.67,9.3,5,263,0.04683544303797468,0.46938775510204084,0.1935483870967742,8.5,Low,6.231000000000001
12.5,0.56,0.49,2.4,0.064,5.0,27.0,0.9999,3.08,0.87,10.9,5,264,0.044800000000000006,0.18518518518518517,0.2201834862385321,13.55,Low,9.483
8.1,0.87,0.0,3.3,0.096,26.0,61.0,1.00025,3.6,0.72,9.8,4,266,0.10740740740740741,0.4262295081967213,0.33673469387755095,8.969999999999999,Moderate,7.056
7.9,0.35,0.46,3.6,0.078,15.0,37.0,0.9973,3.35,0.86,12.8,8,267,0.044303797468354424,0.40540540540540543,0.28125,8.71,Low,11.008000000000001
6.9,0.54,0.04,3.0,0.077,7.0,27.0,0.9987,3.69,0.91,9.4,6,268,0.0782608695652174,0.25925925925925924,0.3191489361702127,7.48,Moderate,8.554
11.5,0.18,0.51,4.0,0.104,4.0,23.0,0.9996,3.28,0.97,10.1,6,269,0.015652173913043476,0.17391304347826086,0.39603960396039606,12.19,Low,9.796999999999999
7.9,0.545,0.06,4.0,0.087,27.0,61.0,0.9965,3.36,0.67,10.7,6,270,0.0689873417721519,0.4426229508196721,0.3738317757009346,8.505,Low,7.169
7.9,0.545,0.06,4.0,0.087,27.0,61.0,0.9965,3.36,0.67,10.7,6,275,0.0689873417721519,0.4426229508196721,0.3738317757009346,8.505,Low,7.169
6.9,0.54,0.04,3.0,0.077,7.0,27.0,0.9987,3.69,0.91,9.4,6,276,0.0782608695652174,0.25925925925925924,0.3191489361702127,7.48,Moderate,8.554
11.5,0.18,0.51,4.0,0.104,4.0,23.0,0.9996,3.28,0.97,10.1,6,277,0.015652173913043476,0.17391304347826086,0.39603960396039606,12.19,Low,9.796999999999999
10.3,0.32,0.45,6.4,0.073,5.0,13.0,0.9976,3.23,0.82,12.6,8,278,0.031067961165048542,0.38461538461538464,0.507936507936508,11.07,Low,10.331999999999999
8.9,0.4,0.32,5.6,0.087,10.0,47.0,0.9991,3.38,0.77,10.5,7,279,0.0449438202247191,0.2127659574468085,0.5333333333333333,9.620000000000001,Low,8.085
11.4,0.26,0.44,3.6,0.071,6.0,19.0,0.9986,3.12,0.82,9.3,6,280,0.02280701754385965,0.3157894736842105,0.3870967741935484,12.1,Low,7.626
7.7,0.27,0.68,3.5,0.358,5.0,10.0,0.9972,3.25,1.08,9.9,7,281,0.03506493506493507,0.5,0.35353535353535354,8.65,Low,10.692000000000002
8.9,0.4,0.32,5.6,0.087,10.0,47.0,0.9991,3.38,0.77,10.5,7,283,0.0449438202247191,0.2127659574468085,0.5333333333333333,9.620000000000001,Low,8.085
9.9,0.59,0.07,3.4,0.102,32.0,71.0,1.00015,3.31,0.71,9.8,5,284,0.05959595959595959,0.4507042253521127,0.346938775510204,10.56,Low,6.958
9.9,0.59,0.07,3.4,0.102,32.0,71.0,1.00015,3.31,0.71,9.8,5,285,0.05959595959595959,0.4507042253521127,0.346938775510204,10.56,Low,6.958
12.0,0.45,0.55,2.0,0.073,25.0,49.0,0.9997,3.1,0.76,10.3,6,286,0.0375,0.5102040816326531,0.1941747572815534,13.0,Low,7.828
7.5,0.4,0.12,3.0,0.092,29.0,53.0,0.9967,3.37,0.7,10.3,6,287,0.05333333333333334,0.5471698113207547,0.2912621359223301,8.02,Low,7.21
8.7,0.52,0.09,2.5,0.091,20.0,49.0,0.9976,3.34,0.86,10.6,7,288,0.05977011494252874,0.40816326530612246,0.2358490566037736,9.309999999999999,Low,9.116
11.6,0.42,0.53,3.3,0.105,33.0,98.0,1.001,3.2,0.95,9.2,5,289,0.03620689655172414,0.336734693877551,0.358695652173913,12.549999999999999,Low,8.739999999999998
8.7,0.52,0.09,2.5,0.091,20.0,49.0,0.9976,3.34,0.86,10.6,7,290,0.05977011494252874,0.40816326530612246,0.2358490566037736,9.309999999999999,Low,9.116
10.4,0.55,0.23,2.7,0.091,18.0,48.0,0.9994,3.22,0.64,10.3,6,292,0.052884615384615384,0.375,0.2621359223300971,11.180000000000001,Low,6.5920000000000005
6.9,0.36,0.25,2.4,0.098,5.0,16.0,0.9964,3.41,0.6,10.1,6,293,0.05217391304347826,0.3125,0.2376237623762376,7.510000000000001,Moderate,6.06
13.3,0.34,0.52,3.2,0.094,17.0,53.0,1.0014,3.05,0.81,9.5,6,294,0.02556390977443609,0.32075471698113206,0.3368421052631579,14.16,Low,7.695
10.8,0.5,0.46,2.5,0.073,5.0,27.0,1.0001,3.05,0.64,9.5,5,295,0.046296296296296294,0.18518518518518517,0.2631578947368421,11.760000000000002,Low,6.08
10.6,0.83,0.37,2.6,0.086,26.0,70.0,0.9981,3.16,0.52,9.9,5,296,0.07830188679245283,0.37142857142857144,0.26262626262626265,11.799999999999999,Low,5.148000000000001
7.1,0.63,0.06,2.0,0.083,8.0,29.0,0.99855,3.67,0.73,9.6,5,297,0.08873239436619719,0.27586206896551724,0.20833333333333334,7.789999999999999,Moderate,7.008
7.2,0.65,0.02,2.3,0.094,5.0,31.0,0.9993,3.67,0.8,9.7,5,298,0.09027777777777778,0.16129032258064516,0.23711340206185566,7.87,Moderate,7.76
7.5,0.53,0.06,2.6,0.086,20.0,44.0,0.9965,3.38,0.59,10.7,6,300,0.07066666666666667,0.45454545454545453,0.2429906542056075,8.09,Low,6.312999999999999
11.1,0.18,0.48,1.5,0.068,7.0,15.0,0.9973,3.22,0.64,10.1,6,301,0.016216216216216217,0.4666666666666667,0.1485148514851485,11.76,Low,6.4639999999999995
8.3,0.705,0.12,2.6,0.092,12.0,28.0,0.9994,3.51,0.72,10.0,5,302,0.08493975903614456,0.42857142857142855,0.26,9.125,Moderate,7.199999999999999
8.4,0.65,0.6,2.1,0.1119999999999999,12.0,90.0,0.9973,3.2,0.52,9.2,5,304,0.07738095238095238,0.13333333333333333,0.2282608695652174,9.65,Low,4.784
7.6,0.62,0.32,2.2,0.0819999999999999,7.0,54.0,0.9966,3.36,0.52,9.4,5,306,0.08157894736842106,0.12962962962962962,0.23404255319148937,8.54,Low,4.888000000000001
10.3,0.41,0.42,2.4,0.213,6.0,14.0,0.9994,3.19,0.62,9.5,6,307,0.03980582524271844,0.42857142857142855,0.25263157894736843,11.13,Low,5.89
10.3,0.43,0.44,2.4,0.214,5.0,12.0,0.9994,3.19,0.63,9.5,6,308,0.04174757281553398,0.4166666666666667,0.25263157894736843,11.17,Low,5.985
7.9,0.53,0.24,2.0,0.072,15.0,105.0,0.996,3.27,0.54,9.4,6,311,0.0670886075949367,0.14285714285714285,0.2127659574468085,8.67,Low,5.0760000000000005
9.0,0.46,0.31,2.8,0.093,19.0,98.0,0.99815,3.32,0.63,9.5,6,312,0.051111111111111114,0.19387755102040816,0.29473684210526313,9.770000000000001,Low,5.985
8.6,0.47,0.3,3.0,0.076,30.0,135.0,0.9976,3.3,0.53,9.4,5,313,0.05465116279069767,0.2222222222222222,0.3191489361702127,9.370000000000001,Low,4.982
7.4,0.36,0.29,2.6,0.087,26.0,72.0,0.99645,3.39,0.68,11.0,5,314,0.048648648648648644,0.3611111111111111,0.23636363636363636,8.05,Low,7.48
9.8,0.66,0.39,3.2,0.083,21.0,59.0,0.9989,3.37,0.71,11.5,7,318,0.0673469387755102,0.3559322033898305,0.2782608695652174,10.850000000000001,Low,8.165
9.6,0.77,0.12,2.9,0.0819999999999999,30.0,74.0,0.99865,3.3,0.64,10.4,6,319,0.08020833333333334,0.40540540540540543,0.27884615384615385,10.489999999999998,Low,6.656000000000001
9.3,0.61,0.26,3.4,0.09,25.0,87.0,0.99975,3.24,0.62,9.7,5,321,0.06559139784946236,0.28735632183908044,0.3505154639175258,10.17,Low,6.013999999999999
10.0,0.49,0.2,11.0,0.071,13.0,50.0,1.0015,3.16,0.69,9.2,6,324,0.049,0.26,1.1956521739130437,10.69,Low,6.347999999999999
10.0,0.49,0.2,11.0,0.071,13.0,50.0,1.0015,3.16,0.69,9.2,6,325,0.049,0.26,1.1956521739130437,10.69,Low,6.347999999999999
11.6,0.53,0.66,3.65,0.121,6.0,14.0,0.9978,3.05,0.74,11.5,7,326,0.045689655172413794,0.42857142857142855,0.3173913043478261,12.79,Low,8.51
10.3,0.44,0.5,4.5,0.107,5.0,13.0,0.998,3.28,0.83,11.5,5,327,0.04271844660194175,0.38461538461538464,0.391304347826087,11.24,Low,9.545
13.4,0.27,0.62,2.6,0.0819999999999999,6.0,21.0,1.0002,3.16,0.67,9.7,6,328,0.020149253731343283,0.2857142857142857,0.2680412371134021,14.29,Low,6.499
8.4,0.56,0.08,2.1,0.105,16.0,44.0,0.9958,3.13,0.52,11.0,5,333,0.06666666666666667,0.36363636363636365,0.19090909090909092,9.040000000000001,Low,5.720000000000001
7.9,0.65,0.01,2.5,0.078,17.0,38.0,0.9963,3.34,0.74,11.7,7,334,0.08227848101265822,0.4473684210526316,0.2136752136752137,8.56,Low,8.658
11.9,0.695,0.53,3.4,0.128,7.0,21.0,0.9992,3.17,0.84,12.2,7,335,0.05840336134453781,0.3333333333333333,0.27868852459016397,13.125,Low,10.248
8.9,0.43,0.45,1.9,0.052,6.0,16.0,0.9948,3.35,0.7,12.5,6,336,0.04831460674157303,0.375,0.152,9.78,Low,8.75
7.8,0.43,0.32,2.8,0.08,29.0,58.0,0.9974,3.31,0.64,10.3,5,337,0.05512820512820513,0.5,0.27184466019417475,8.55,Low,6.5920000000000005
12.5,0.28,0.54,2.3,0.0819999999999999,12.0,29.0,0.9997,3.11,1.36,9.8,7,339,0.022400000000000003,0.41379310344827586,0.23469387755102036,13.32,Low,13.328000000000001
10.9,0.39,0.47,1.8,0.118,6.0,14.0,0.9982,3.3,0.75,9.8,6,342,0.03577981651376147,0.42857142857142855,0.18367346938775508,11.760000000000002,Low,7.3500000000000005
10.9,0.39,0.47,1.8,0.118,6.0,14.0,0.9982,3.3,0.75,9.8,6,343,0.03577981651376147,0.42857142857142855,0.18367346938775508,11.760000000000002,Low,7.3500000000000005
11.9,0.57,0.5,2.6,0.0819999999999999,6.0,32.0,1.0006,3.12,0.78,10.7,6,344,0.04789915966386554,0.1875,0.2429906542056075,12.97,Low,8.346
13.8,0.49,0.67,3.0,0.093,6.0,15.0,0.9986,3.02,0.93,12.0,6,347,0.035507246376811595,0.4,0.25,14.96,Low,11.16
9.6,0.56,0.31,2.8,0.089,15.0,46.0,0.9979,3.11,0.92,10.0,6,348,0.05833333333333334,0.32608695652173914,0.27999999999999997,10.47,Low,9.200000000000001
9.1,0.795,0.0,2.6,0.096,11.0,26.0,0.9994,3.35,0.83,9.4,6,351,0.08736263736263737,0.4230769230769231,0.2765957446808511,9.895,Low,7.802
7.7,0.665,0.0,2.4,0.09,8.0,19.0,0.9974,3.27,0.73,9.3,5,352,0.08636363636363636,0.42105263157894735,0.25806451612903225,8.365,Low,6.789000000000001
13.5,0.53,0.79,4.8,0.12,23.0,77.0,1.0018,3.18,0.77,13.0,5,353,0.039259259259259265,0.2987012987012987,0.3692307692307692,14.82,Low,10.01
6.1,0.21,0.4,1.4,0.066,40.5,165.0,0.9912,3.25,0.59,11.9,6,354,0.03442622950819672,0.24545454545454545,0.1176470588235294,6.71,Low,7.021
6.7,0.75,0.01,2.4,0.078,17.0,32.0,0.9955,3.55,0.61,12.8,6,355,0.11194029850746269,0.53125,0.18749999999999997,7.46,Moderate,7.808
11.5,0.41,0.52,3.0,0.08,29.0,55.0,1.0001,3.26,0.88,11.0,5,356,0.035652173913043476,0.5272727272727272,0.2727272727272727,12.43,Low,9.68
10.5,0.42,0.66,2.95,0.1159999999999999,12.0,29.0,0.997,3.24,0.75,11.7,7,357,0.04,0.41379310344827586,0.2521367521367522,11.58,Low,8.774999999999999
11.9,0.43,0.66,3.1,0.109,10.0,23.0,1.0,3.15,0.85,10.4,7,358,0.0361344537815126,0.43478260869565216,0.2980769230769231,12.99,Low,8.84
12.6,0.38,0.66,2.6,0.088,10.0,41.0,1.001,3.17,0.68,9.8,6,359,0.03015873015873016,0.24390243902439024,0.2653061224489796,13.64,Low,6.664000000000001
8.2,0.7,0.23,2.0,0.099,14.0,81.0,0.9973,3.19,0.7,9.4,5,360,0.08536585365853659,0.1728395061728395,0.2127659574468085,9.129999999999999,Low,6.58
8.6,0.45,0.31,2.6,0.086,21.0,50.0,0.9982,3.37,0.91,9.9,6,361,0.05232558139534884,0.42,0.26262626262626265,9.36,Low,9.009
11.9,0.58,0.66,2.5,0.072,6.0,37.0,0.9992,3.05,0.56,10.0,5,362,0.04873949579831932,0.16216216216216217,0.25,13.14,Low,5.6000000000000005
12.5,0.46,0.63,2.0,0.071,6.0,15.0,0.9988,2.99,0.87,10.2,5,363,0.0368,0.4,0.19607843137254904,13.590000000000002,Very Low,8.873999999999999
12.8,0.615,0.66,5.8,0.083,7.0,42.0,1.0022,3.07,0.73,10.0,7,364,0.048046874999999996,0.16666666666666666,0.58,14.075000000000001,Low,7.3
12.8,0.615,0.66,5.8,0.083,7.0,42.0,1.0022,3.07,0.73,10.0,7,366,0.048046874999999996,0.16666666666666666,0.58,14.075000000000001,Low,7.3
10.4,0.575,0.61,2.6,0.076,11.0,24.0,1.0,3.16,0.69,9.0,5,367,0.05528846153846153,0.4583333333333333,0.2888888888888889,11.584999999999999,Low,6.209999999999999
9.4,0.27,0.53,2.4,0.074,6.0,18.0,0.9962,3.2,1.13,12.0,7,369,0.02872340425531915,0.3333333333333333,0.19999999999999998,10.2,Low,13.559999999999999
7.9,0.24,0.4,1.6,0.0559999999999999,11.0,25.0,0.9967,3.32,0.87,8.7,6,371,0.030379746835443037,0.44,0.18390804597701152,8.540000000000001,Low,7.568999999999999
9.1,0.28,0.48,1.8,0.067,26.0,46.0,0.9967,3.32,1.04,10.6,6,372,0.030769230769230774,0.5652173913043478,0.169811320754717,9.86,Low,11.024
11.5,0.45,0.5,3.0,0.078,19.0,47.0,1.0003,3.26,1.11,11.0,6,376,0.0391304347826087,0.40425531914893614,0.2727272727272727,12.45,Low,12.21
9.4,0.27,0.53,2.4,0.074,6.0,18.0,0.9962,3.2,1.13,12.0,7,377,0.02872340425531915,0.3333333333333333,0.19999999999999998,10.2,Low,13.559999999999999
11.4,0.625,0.66,6.2,0.088,6.0,24.0,0.9988,3.11,0.99,13.3,6,378,0.05482456140350877,0.25,0.46616541353383456,12.685,Low,13.167
8.3,0.26,0.42,2.0,0.08,11.0,27.0,0.9974,3.21,0.8,9.4,6,380,0.03132530120481927,0.4074074074074074,0.2127659574468085,8.98,Low,7.5200000000000005
7.7,0.51,0.28,2.1,0.087,23.0,54.0,0.998,3.42,0.74,9.2,5,384,0.06623376623376623,0.42592592592592593,0.2282608695652174,8.49,Moderate,6.808
7.8,0.46,0.26,1.9,0.088,23.0,53.0,0.9981,3.43,0.74,9.2,6,388,0.05897435897435898,0.4339622641509434,0.20652173913043478,8.52,Moderate,6.808
5.6,0.85,0.05,1.4,0.045,12.0,88.0,0.9924,3.56,0.82,12.9,8,390,0.1517857142857143,0.13636363636363635,0.10852713178294572,6.499999999999999,Moderate,10.578
13.7,0.415,0.68,2.9,0.085,17.0,43.0,1.0014,3.06,0.8,10.0,6,391,0.030291970802919708,0.3953488372093023,0.29,14.794999999999998,Low,8.0
9.5,0.37,0.52,2.0,0.0819999999999999,6.0,26.0,0.998,3.18,0.51,9.5,5,392,0.03894736842105263,0.23076923076923078,0.21052631578947367,10.389999999999999,Low,4.845
12.0,0.37,0.76,4.2,0.066,7.0,38.0,1.0004,3.22,0.6,13.0,7,395,0.030833333333333334,0.18421052631578946,0.3230769230769231,13.129999999999999,Low,7.8
6.6,0.735,0.02,7.9,0.122,68.0,124.0,0.9994,3.47,0.53,9.9,5,396,0.11136363636363637,0.5483870967741935,0.797979797979798,7.3549999999999995,Moderate,5.247000000000001
11.5,0.59,0.59,2.6,0.087,13.0,49.0,0.9988,3.18,0.65,11.0,6,397,0.051304347826086956,0.2653061224489796,0.23636363636363636,12.68,Low,7.15
8.7,0.765,0.22,2.3,0.064,9.0,42.0,0.9963,3.1,0.55,9.4,5,399,0.08793103448275863,0.21428571428571427,0.24468085106382975,9.685,Low,5.170000000000001
6.6,0.735,0.02,7.9,0.122,68.0,124.0,0.9994,3.47,0.53,9.9,5,400,0.11136363636363637,0.5483870967741935,0.797979797979798,7.3549999999999995,Moderate,5.247000000000001
12.2,0.48,0.54,2.6,0.085,19.0,64.0,1.0,3.1,0.61,10.5,6,402,0.03934426229508197,0.296875,0.24761904761904763,13.219999999999999,Low,6.405
11.4,0.6,0.49,2.7,0.085,10.0,41.0,0.9994,3.15,0.63,10.5,6,403,0.05263157894736842,0.24390243902439024,0.2571428571428572,12.49,Low,6.615
7.7,0.69,0.05,2.7,0.075,15.0,27.0,0.9974,3.26,0.61,9.1,5,404,0.0896103896103896,0.5555555555555556,0.29670329670329676,8.440000000000001,Low,5.550999999999999
9.8,0.44,0.47,2.5,0.063,9.0,28.0,0.9981,3.24,0.65,10.8,6,406,0.044897959183673466,0.32142857142857145,0.23148148148148145,10.71,Low,7.0200000000000005
12.0,0.39,0.66,3.0,0.093,12.0,30.0,0.9996,3.18,0.63,10.8,7,407,0.0325,0.4,0.27777777777777773,13.05,Low,6.804
12.5,0.46,0.49,4.5,0.07,26.0,49.0,0.9981,3.05,0.57,9.6,4,409,0.0368,0.5306122448979592,0.46875,13.450000000000001,Low,5.4719999999999995
9.0,0.43,0.34,2.5,0.08,26.0,86.0,0.9987,3.38,0.62,9.5,6,410,0.04777777777777778,0.3023255813953488,0.2631578947368421,9.77,Low,5.89
7.1,0.735,0.16,1.9,0.1,15.0,77.0,0.9966,3.27,0.64,9.3,5,412,0.10352112676056338,0.19480519480519481,0.2043010752688172,7.995,Low,5.952000000000001
9.9,0.4,0.53,6.7,0.0969999999999999,6.0,19.0,0.9986,3.27,0.82,11.7,7,413,0.04040404040404041,0.3157894736842105,0.5726495726495727,10.83,Low,9.594
8.8,0.52,0.34,2.7,0.087,24.0,122.0,0.9982,3.26,0.61,9.5,5,414,0.05909090909090909,0.19672131147540983,0.28421052631578947,9.66,Low,5.795
8.6,0.725,0.24,6.6,0.1169999999999999,31.0,134.0,1.0014,3.32,1.07,9.3,5,415,0.08430232558139535,0.23134328358208955,0.7096774193548386,9.565,Low,9.951
10.6,0.48,0.64,2.2,0.111,6.0,20.0,0.997,3.26,0.66,11.7,6,416,0.045283018867924525,0.3,0.18803418803418806,11.72,Low,7.7219999999999995
7.0,0.58,0.12,1.9,0.091,34.0,124.0,0.9956,3.44,0.48,10.5,5,417,0.08285714285714285,0.27419354838709675,0.18095238095238095,7.7,Moderate,5.04
11.9,0.38,0.51,2.0,0.121,7.0,20.0,0.9996,3.24,0.76,10.4,6,418,0.031932773109243695,0.35,0.1923076923076923,12.790000000000001,Low,7.904000000000001
6.8,0.77,0.0,1.8,0.066,34.0,52.0,0.9976,3.62,0.68,9.9,5,419,0.11323529411764706,0.6538461538461539,0.18181818181818182,7.57,Moderate,6.732000000000001
6.6,0.84,0.03,2.3,0.059,32.0,48.0,0.9952,3.52,0.56,12.3,7,421,0.1272727272727273,0.6666666666666666,0.18699186991869915,7.47,Moderate,6.888000000000001
7.7,0.96,0.2,2.0,0.047,15.0,60.0,0.9955,3.36,0.44,10.9,5,422,0.12467532467532466,0.25,0.18348623853211007,8.86,Low,4.796
10.5,0.24,0.47,2.1,0.066,6.0,24.0,0.9978,3.15,0.9,11.0,7,423,0.022857142857142857,0.25,0.19090909090909092,11.21,Low,9.9
6.6,0.84,0.03,2.3,0.059,32.0,48.0,0.9952,3.52,0.56,12.3,7,425,0.1272727272727273,0.6666666666666666,0.18699186991869915,7.47,Moderate,6.888000000000001
6.4,0.67,0.08,2.1,0.045,19.0,48.0,0.9949,3.49,0.49,11.4,6,426,0.1046875,0.3958333333333333,0.18421052631578946,7.15,Moderate,5.586
9.5,0.78,0.22,1.9,0.077,6.0,32.0,0.9988,3.26,0.56,10.6,6,427,0.08210526315789474,0.1875,0.1792452830188679,10.5,Low,5.936
9.1,0.52,0.33,1.3,0.07,9.0,30.0,0.9978,3.24,0.6,9.3,5,428,0.05714285714285715,0.3,0.13978494623655913,9.95,Low,5.58
12.8,0.84,0.63,2.4,0.088,13.0,35.0,0.9997,3.1,0.6,10.4,6,429,0.06562499999999999,0.37142857142857144,0.23076923076923075,14.270000000000001,Low,6.24
10.5,0.24,0.47,2.1,0.066,6.0,24.0,0.9978,3.15,0.9,11.0,7,430,0.022857142857142857,0.25,0.19090909090909092,11.21,Low,9.9
7.8,0.55,0.35,2.2,0.074,21.0,66.0,0.9974,3.25,0.56,9.2,5,431,0.07051282051282053,0.3181818181818182,0.23913043478260873,8.7,Low,5.152
12.3,0.39,0.63,2.3,0.091,6.0,18.0,1.0004,3.16,0.49,9.5,5,433,0.03170731707317073,0.3333333333333333,0.2421052631578947,13.320000000000002,Low,4.655
10.4,0.41,0.55,3.2,0.076,22.0,54.0,0.9996,3.15,0.89,9.9,6,434,0.03942307692307692,0.4074074074074074,0.32323232323232326,11.360000000000001,Low,8.811
12.3,0.39,0.63,2.3,0.091,6.0,18.0,1.0004,3.16,0.49,9.5,5,435,0.03170731707317073,0.3333333333333333,0.2421052631578947,13.320000000000002,Low,4.655
8.0,0.67,0.3,2.0,0.06,38.0,62.0,0.9958,3.26,0.56,10.2,6,436,0.08375,0.6129032258064516,0.19607843137254904,8.97,Low,5.712
11.1,0.45,0.73,3.2,0.066,6.0,22.0,0.9986,3.17,0.66,11.2,6,437,0.04054054054054054,0.2727272727272727,0.28571428571428575,12.28,Low,7.3919999999999995
